,Name,Latitude,Longitude,datum,afstand,te laat,uur,minuut,seconde
6488831,Mohammed V International Airport,33.36750031,-7.589970112,Lente,2071555.4322590576,green,2.3017282580656198,18.103695483937177,6.2217290362305935
6488832,Mohammed V International Airport,33.36750031,-7.589970112,Winter,2071555.4322590576,green,2.3017282580656198,18.103695483937177,6.2217290362305935
6488833,Mohammed V International Airport,33.36750031,-7.589970112,Zomer,2071555.4322590579,orange,2.3017282580656198,18.10369548393719,6.221729036231525
6491602,Menara Airport,31.60689926,-8.036299706,Herfst,2255520.4686016524,green,2.506133854001836,30.368031240110163,22.081874406609685
6491603,Menara Airport,31.60689926,-8.036299706,Lente,2255520.4686016524,green,2.506133854001836,30.368031240110163,22.081874406609685
6491604,Menara Airport,31.60689926,-8.036299706,Winter,2255520.4686016524,green,2.506133854001836,30.368031240110163,22.081874406609685
6491605,Menara Airport,31.60689926,-8.036299706,Zomer,2255520.4686016524,orange,2.506133854001836,30.368031240110163,22.081874406609685
6494374,Addis Ababa Bole International Airport,8.977890015,38.79930115,Winter,5131802.720423977,green,5.702003022693308,42.12018136159846,7.210881695907563
6494375,Cairo International Airport,30.12190056,31.40559959,Herfst,2745904.788228775,green,3.0510053202541942,3.0603192152516607,3.6191529150996358
6494376,Cairo International Airport,30.12190056,31.40559959,Lente,2745904.7882287754,green,3.0510053202541947,3.060319215251692,3.6191529151014983
6494377,Cairo International Airport,30.12190056,31.40559959,Winter,2745904.7882287754,green,3.0510053202541947,3.060319215251692,3.6191529151014983
6494378,Cairo International Airport,30.12190056,31.40559959,Zomer,2745904.7882287754,green,3.0510053202541947,3.060319215251692,3.6191529151014983
6505763,Hurghada International Airport,27.17830086,33.79940033,Herfst,3146940.3532280345,green,3.4966003924755937,29.79602354853563,47.76141291213781
6505764,Hurghada International Airport,27.17830086,33.79940033,Lente,3146940.3532280345,green,3.4966003924755937,29.79602354853563,47.76141291213781
6505765,Hurghada International Airport,27.17830086,33.79940033,Winter,3146940.353228035,green,3.496600392475594,29.79602354853566,47.76141291213967
6505766,Hurghada International Airport,27.17830086,33.79940033,Zomer,3146940.3532280345,green,3.4966003924755937,29.79602354853563,47.76141291213781
6517151,Julius Nyerere International Airport,-6.878109932,39.20259857,Herfst,6732726.686625776,green,7.480807429584195,28.848445775051726,50.90674650310353
6517152,Julius Nyerere International Airport,-6.878109932,39.20259857,Lente,6732726.686625777,green,7.480807429584196,28.848445775051786,50.90674650310725
6517153,Julius Nyerere International Airport,-6.878109932,39.20259857,Winter,6732726.686625776,green,7.480807429584195,28.848445775051726,50.90674650310353
6517154,Julius Nyerere International Airport,-6.878109932,39.20259857,Zomer,6732726.686625776,green,7.480807429584195,28.848445775051726,50.90674650310353
6518615,Tirana International Airport Mother Teresa,41.41469955,19.72060013,Herfst,1113039.6001869675,green,1.2367106668744083,14.202640012464501,12.158400747870095
6518616,Tirana International Airport Mother Teresa,41.41469955,19.72060013,Lente,1113039.6001869675,green,1.2367106668744083,14.202640012464501,12.158400747870095
6518617,Tirana International Airport Mother Teresa,41.41469955,19.72060013,Zomer,1113039.6001869675,green,1.2367106668744083,14.202640012464501,12.158400747870095
6519074,Burgas Airport,42.56959915,27.51519966,Herfst,1585926.8194100517,green,1.762140910455613,45.72845462733678,43.70727764020674
6519075,Burgas Airport,42.56959915,27.51519966,Lente,1585926.8194100517,green,1.762140910455613,45.72845462733678,43.70727764020674
6519076,Burgas Airport,42.56959915,27.51519966,Winter,1585926.8194100517,green,1.762140910455613,45.72845462733678,43.70727764020674
6519077,Burgas Airport,42.56959915,27.51519966,Zomer,1585926.8194100517,orange,1.762140910455613,45.72845462733678,43.70727764020674
6522146,Sofia Airport,42.69669342,23.41143608,Herfst,1281834.5462705963,green,1.4242606069673291,25.455636418039756,27.338185082385316
6522147,Sofia Airport,42.69669342,23.41143608,Lente,1281834.5462705963,green,1.4242606069673291,25.455636418039756,27.338185082385316
6522148,Sofia Airport,42.69669342,23.41143608,Winter,1281834.5462705963,green,1.4242606069673291,25.455636418039756,27.338185082385316
6522149,Sofia Airport,42.69669342,23.41143608,Zomer,1281834.5462705963,orange,1.4242606069673291,25.455636418039756,27.338185082385316
6525218,Varna Airport,43.232101,27.8251,Herfst,1577355.45888882,green,1.7526171765431333,45.157030592587994,9.421835555279628
6525219,Varna Airport,43.232101,27.8251,Lente,1577355.45888882,green,1.7526171765431333,45.157030592587994,9.421835555279628
6525220,Varna Airport,43.232101,27.8251,Winter,1577355.45888882,green,1.7526171765431333,45.157030592587994,9.421835555279628
6525221,Varna Airport,43.232101,27.8251,Zomer,1577355.45888882,orange,1.7526171765431333,45.157030592587994,9.421835555279628
6528290,Larnaca International Airport,34.87509918,33.62490082,Herfst,2508634.0798386643,green,2.787371199820738,47.24227198924429,14.536319354657083
6528291,Larnaca International Airport,34.87509918,33.62490082,Lente,2508634.0798386643,green,2.787371199820738,47.24227198924429,14.536319354657083
6528292,Larnaca International Airport,34.87509918,33.62490082,Winter,2508634.0798386643,orange,2.787371199820738,47.24227198924429,14.536319354657083
6528293,Larnaca International Airport,34.87509918,33.62490082,Zomer,2508634.0798386643,green,2.787371199820738,47.24227198924429,14.536319354657083
6533650,Paphos International Airport,34.7179985,32.4856987,Herfst,2442938.487910984,green,2.7143760976788713,42.862565860732275,51.75395164393633
6533651,Paphos International Airport,34.7179985,32.4856987,Lente,2442938.487910984,green,2.7143760976788713,42.862565860732275,51.75395164393633
6533652,Paphos International Airport,34.7179985,32.4856987,Winter,2442938.487910984,orange,2.7143760976788713,42.862565860732275,51.75395164393633
