,datum,Country,te laat,afstand,ISO 3166 Country Code,Latitude,Longitude,uur,minuut,seconde
86,Lente,Costa Rica,orange,9404282.310312688,CR,10.0,-84.0,10.449202567014098,26.95215402084589,57.1292412507534
87,Lente,Croatia,green,704895.3891906394,HR,45.17,15.5,0.7832170991007104,46.99302594604262,59.581556762557476
88,Lente,Cuba,red,8193876.774654916,CU,21.5,-80.0,9.10430752739435,6.258451643661037,15.507098619662225
89,Lente,Cyprus,green,2475786.283874824,CY,35.0,33.0,2.7508736487498044,45.05241892498828,3.14513549929671
90,Lente,Denmark,orange,955088.9115066223,DK,56.0,10.0,1.0612099016740248,3.6725941004414886,40.355646026489325
91,Lente,Dominican Republic,green,7535250.38419614,DO,19.0,-70.67,8.3725004268846,22.350025613075992,21.001536784559487
92,Lente,Egypt,green,3086053.354436378,EG,27.0,30.0,3.4289481715959758,25.73689029575853,44.213417745511975
93,Lente,Finland,green,2133432.8939562244,FI,64.0,26.0,2.3704809932846937,22.22885959708163,13.731575824897737
94,Lente,France,orange,547807.3580517638,FR,46.0,2.0,0.6086748422797376,36.52049053678426,31.22943220705539
95,Lente,Georgia,green,2934291.796364896,GE,42.0,43.5,3.260324218183218,15.619453090993067,37.167185459584
96,Lente,Germany,green,514583.96355453366,DE,51.0,9.0,0.5717599595050374,34.30559757030225,18.335854218134656
97,Lente,Greece,orange,1696215.466557723,GR,39.0,22.0,1.8846838517308033,53.0810311038482,4.8618662308920175
98,Lente,Hong Kong,orange,9295880.72073311,HK,22.25,114.17,10.328756356370121,19.725381382207324,43.522882932439444
99,Lente,Hungary,orange,895252.9865108244,HU,47.0,20.0,0.9947255405675827,59.68353243405496,41.01194604329765
100,Lente,Iceland,orange,2522813.8368368717,IS,65.0,-18.0,2.803126485374302,48.187589122458114,11.255347347486763
101,Lente,India,orange,6538556.165534214,IN,20.0,77.0,7.265062406149127,15.903744368947608,54.224662136856466
102,Lente,Ireland,green,1279789.6051396641,IE,53.0,-8.0,1.4219884501551823,25.319307009310943,19.158420558656566
103,Lente,Israel,orange,2897328.4501050017,IL,31.5,34.75,3.219253833450002,13.155230007000112,9.313800420006737
104,Lente,Italy,orange,722834.264987828,IT,42.83,12.83,0.8031491833198089,48.188950999188535,11.33705995131191
105,Lente,Japan,green,9557975.818554452,JP,36.0,138.0,10.619973131727168,37.19838790363011,11.903274217806757
106,Lente,Jordan,orange,2908799.77707359,JO,31.0,36.0,3.231999752303989,13.919985138239339,55.19910829436034
107,Lente,Kenya,green,6068289.6625828,KE,1.0,38.0,6.742544069536444,44.55264417218665,33.15865033119917
108,Lente,Latvia,green,1483410.208075181,LV,57.0,25.0,1.648233564527979,38.894013871678744,53.64083230072446
109,Lente,Lebanon,green,2714411.894743943,LB,33.83,35.83,3.016013216382159,0.9607929829295414,57.64757897577248
110,Lente,Luxembourg,green,295929.1877591087,LU,49.75,6.17,0.3288102086212319,19.728612517273916,43.7167510364349
111,Lente,Macedonia,green,1197848.093053167,MK,41.83,22.0,1.33094232561463,19.8565395368778,51.39237221266795
112,Lente,Maldives,orange,7802501.030330505,MV,3.25,73.0,8.669445589256117,40.16673535536702,10.004121322020888
113,Lente,Malta,orange,1379443.389275949,MT,35.83,14.58,1.5327148769732766,31.962892618396598,57.77355710379593
114,Lente,Mauritius,green,8979741.05680707,MU,-20.28,57.55,9.977490063118966,58.64940378713794,38.96422722827643
115,Lente,Mexico,orange,8707216.499340693,MX,23.0,-102.0,9.674684999267436,40.48109995604617,28.86599736277014
116,Lente,Montenegro,green,1016500.2164712584,ME,42.0,19.0,1.1294446849680648,7.766681098083896,46.00086588503374
117,Lente,Morocco,green,2284474.1004361496,MA,32.0,-5.0,2.5383045560401665,32.29827336240997,17.896401744598524
118,Lente,Netherlands,orange,565524.7294574515,NL,52.5,5.75,0.6283608105082794,37.70164863049677,42.098917829805984
119,Lente,Norway,green,2213079.414094044,NO,62.0,10.0,2.4589771267711598,27.538627606269593,32.317656376175584
120,Lente,Oman,green,5114292.547121781,OM,21.0,57.0,5.682547274579757,40.95283647478539,57.170188487123696
121,Lente,Peru,red,10662016.871350711,PE,-10.0,-76.0,11.846685412611901,50.80112475671408,48.067485402844845
122,Lente,Poland,orange,904481.9632996817,PL,52.0,20.0,1.0049799592218684,0.29879755331211105,17.927853198726662
123,Lente,Portugal,orange,1933457.8025280086,PT,39.5,-8.0,2.148286447253343,8.897186835200573,53.83121011203434
124,Lente,Qatar,green,4497246.51998999,QA,25.5,51.25,4.996940577766655,59.81643466599931,48.98607995995879
125,Lente,Romania,orange,1486218.7861853132,RO,46.0,25.0,1.6513542068725702,39.08125241235422,4.8751447412529965
126,Lente,Saudi Arabia,red,3960123.8357313485,SA,25.0,45.0,4.400137595257054,24.008255715423232,0.4953429253939539
127,Lente,Serbia,green,1070896.2742800813,RS,44.0,21.0,1.1898847492000904,11.393084952005418,23.58509712032508
128,Lente,Seychelles,green,7375352.659785435,SC,-4.58,55.67,8.194836288650484,11.690177319028974,41.410639141738415
129,Lente,Singapore,green,10309661.663657624,SG,1.37,103.8,11.455179626286249,27.310777577174953,18.6466546304971
130,Lente,Slovakia,green,803665.6775277767,SK,48.67,19.5,0.8929618639197519,53.57771183518511,34.66271011110675
131,Lente,Slovenia,green,471180.2152196908,SI,46.0,15.0,0.5235335724663231,31.412014347979387,24.720860878763254
132,Lente,South Africa,green,8730961.99612097,ZA,-29.0,24.0,9.701068884578856,42.06413307473138,3.847984483882785
133,Lente,Spain,orange,1724914.0655481298,ES,40.0,-4.0,1.9165711839423665,54.99427103654199,59.65626219251938
134,Lente,Sri Lanka,green,8023066.298915475,LK,7.0,81.0,8.914518109906084,54.871086594364975,52.2651956618987
135,Lente,Sweden,green,1325293.2118673858,SE,62.0,15.0,1.4725480131859843,28.352880791159052,21.172847469543107
136,Lente,Switzerland,green,123177.70175402104,CH,47.0,8.0,0.13686411306002338,8.211846783601402,12.710807016084145
137,Lente,Thailand,orange,9198650.586749937,TH,15.0,100.0,10.220722874166597,13.243372449995826,14.60234699974954
138,Lente,Tunisia,orange,1353807.2309942802,TN,34.0,9.0,1.5042302566603114,30.25381539961868,15.228923977120779
139,Lente,Turkey,orange,2037410.0777657318,TR,39.0,35.0,2.263788975295258,15.827338517715456,49.64031106292736
140,Lente,Ukraine,orange,1646960.6784359748,UA,49.0,32.0,1.8299563093733053,49.797378562398315,47.84271374389902
141,Lente,United Arab Emirates,green,4778775.273611671,AE,24.0,54.0,5.309750304012968,18.585018240778087,35.10109444668517
142,Lente,United Kingdom,green,973287.8733495864,GB,54.0,-2.0,1.0814309703884293,4.885858223305759,53.15149339834554
143,Lente,United States,orange,7834137.571939665,US,38.0,-97.0,8.704597302155182,42.27583812931099,16.55028775865957
144,Lente,Vietnam,red,9732263.866254238,VN,16.0,106.0,10.813626518060264,48.817591083615895,49.05546501695365
145,Winter,Argentina,green,11298004.45794462,AR,-34.0,-64.0,12.553338286605134,33.20029719630803,12.017831778481602
146,Winter,Austria,green,488686.7493221655,AT,47.33,13.33,0.5429852770246283,32.5791166214777,34.74699728866201
147,Winter,Belgium,green,483467.91151865025,BE,50.83,4.0,0.5371865683540559,32.23119410124335,13.871646074600983
148,Winter,Bosnia and Herzegovina,red,859087.1139888838,BA,44.0,18.0,0.9545412377654264,57.27247426592559,16.348455955535172
149,Winter,Brazil,orange,9468399.434676252,BR,-10.0,-55.0,10.520443816306948,31.22662897841682,13.597738705009222
150,Winter,Bulgaria,green,1481705.6081898226,BG,43.0,25.0,1.6463395646553585,38.78037387932151,46.822432759290564
151,Winter,Canada,orange,7242794.941195089,CA,60.0,-95.0,8.04754993466121,2.8529960796726246,51.17976478035748
152,Winter,China,green,8563324.004993368,CN,35.0,105.0,9.514804449992631,30.888266999557864,53.29601997347176
153,Winter,Costa Rica,green,9404282.310312688,CR,10.0,-84.0,10.449202567014098,26.95215402084589,57.1292412507534
154,Winter,Croatia,green,704895.3891906394,HR,45.17,15.5,0.7832170991007104,46.99302594604262,59.581556762557476
155,Winter,Cuba,orange,8193876.774654916,CU,21.5,-80.0,9.10430752739435,6.258451643661037,15.507098619662225
156,Winter,Cyprus,orange,2475786.283874824,CY,35.0,33.0,2.7508736487498044,45.05241892498828,3.14513549929671
